"","X","End_time","Finished","Respondent_group","Screening","Consent","Reason_nc","Check_group","Ob_lawyers","Ob_politicians","Ob_journalists","Ob_med_doctors","Ob_accountants","Ob_army_lieutenants","Ob_bankers","Ob_judges","Ob_detectives","Ob_scientists","Ra_lawyers","Ra_politicians","Ra_journalists","Ra_med_doctors","Ra_accountants","Ra_army_lieutenants","Ra_bankers","Ra_judges","Ra_detectives","Ra_scientists","Op_lawyers","Op_politicians","Op_journalists","Op_med_doctors","Op_accountants","Op_army_lieutenants","Op_bankers","Op_judges","Op_detectives","Op_scientists","Iq_lawyers","Iq_politicians","Iq_journalists","Iq_med_doctors","Iq_accountants","Iq_army_lieutenants","Iq_bankers","Iq_judges","Iq_detectives","Iq_scientists","In_lawyers","In_politicians","In_journalists","In_med_doctors","In_accountants","In_army_lieutenants","In_bankers","In_judges","In_detectives","In_scientists","Co_lawyers","Co_politicians","Co_journalists","Co_med_doctors","Co_accountants","Co_army_lieutenants","Co_bankers","Co_judges","Co_detectives","Co_scientists","Country","Year_born","Gender","Religiousness","Feedback"
"54",64,"5/14/2014 1:47",1,"Educated",NA,1,NA,1,87,95,63,77,75,86,72,94,86,100,77,59,48,93,52,70,38,61,80,87,100,68,9,95,73,56,35,100,67,85,95,79,60,100,92,82,74,94,87,100,95,40,49,100,72,83,64,67,79,100,59,100,86,0,100,0,82,20,46,75,187,73,1,43,NA
"55",65,"5/14/2014 1:48",1,"Educated",NA,1,NA,2,84,73,89,61,69,44,75,66,67,78,85,71,88,53,80,50,72,71,80,83,72,78,95,54,69,48,55,78,62,60,78,75,81,67,77,80,65,77,65,91,80,62,72,65,82,51,69,82,61,77,94,94,80,51,74,54,71,70,74,67,187,58,2,40,NA
"56",66,"5/14/2014 1:48",1,"Educated",NA,1,NA,2,37,20,48,84,76,78,40,47,66,75,68,77,57,77,64,83,79,88,85,53,55,21,43,87,69,58,82,84,76,89,86,43,49,77,31,26,84,73,31,46,80,36,44,78,47,75,63,39,69,59,65,69,79,39,78,74,69,68,81,83,187,54,2,40,NA
"57",68,"5/14/2014 1:56",1,"Educated",NA,1,NA,2,79,80,78,80,80,80,80,80,80,100,73,72,78,76,79,72,75,75,73,78,80,75,84,78,74,85,86,79,83,83,82,81,84,81,81,83,81,81,83,83,77,72,74,71,72,74,74,71,74,98,98,91,82,83,79,80,100,81,80,81,187,63,2,43,NA
"58",69,"5/14/2014 1:58",1,"Educated",NA,1,NA,2,67,68,70,77,70,69,75,67,78,71,76,75,73,76,70,74,74,73,62,73,68,69,75,78,76,66,69,71,75,75,74,74,73,75,65,69,76,76,75,74,74,74,72,61,60,68,74,73,75,73,65,71,77,76,75,69,71,73,74,72,187,50,1,43,NA
"59",70,"5/14/2014 2:09",1,"Educated",NA,1,NA,2,6,8,4,88,86,78,72,82,91,90,9,8,9,88,87,86,82,12,87,70,17,12,10,85,85,84,75,11,90,92,20,5,11,85,77,87,80,71,92,84,10,3,8,88,89,89,36,5,84,82,83,83,84,87,84,74,89,76,75,85,187,53,2,44,NA
"60",71,"5/14/2014 2:11",1,"Educated",NA,1,NA,2,40,0,26,50,91,50,75,65,70,70,60,0,50,81,100,49,91,90,95,90,30,9,91,40,50,9,50,50,70,70,85,50,40,89,69,50,70,65,86,95,49,0,61,75,90,90,40,71,71,81,100,100,60,50,20,30,76,30,19,60,187,67,2,44,NA
"61",72,"5/14/2014 2:13",1,"Educated",NA,1,NA,2,90,83,78,87,71,83,84,86,89,90,90,79,85,87,81,88,91,91,93,95,81,70,82,82,81,79,78,77,84,79,82,68,83,89,74,66,72,82,82,85,65,63,75,81,75,79,80,84,83,83,86,79,79,77,79,78,79,79,80,77,187,50,2,39,NA
"62",74,"5/14/2014 2:15",1,"Educated",NA,1,NA,4,71,43,75,69,96,39,21,89,55,98,80,45,43,68,93,22,40,71,25,98,72,36,56,63,84,29,17,73,56,96,85,19,47,87,67,44,31,89,31,76,73,57,37,70,92,29,19,89,29,96,83,93,45,27,10,95,14,28,94,62,187,25,1,43,NA
"63",75,"5/14/2014 2:15",1,"Educated",NA,1,NA,2,100,100,100,91,100,69,33,100,100,100,50,80,40,98,90,60,100,100,100,100,80,92,91,80,65,17,14,80,88,99,100,100,60,100,100,40,90,100,100,100,90,90,90,100,100,70,100,100,100,90,90,60,70,90,70,30,60,50,90,90,187,55,1,43,NA
