"","Start_time","End_time","Finished","Respondent_group","Screening","Consent","Reason_nc","Check_group","Ob_lawyers","Ob_politicians","Ob_journalists","Ob_med_doctors","Ob_accountants","Ob_army_lieutenants","Ob_bankers","Ob_judges","Ob_detectives","Ob_scientists","Ra_lawyers","Ra_politicians","Ra_journalists","Ra_med_doctors","Ra_accountants","Ra_army_lieutenants","Ra_bankers","Ra_judges","Ra_detectives","Ra_scientists","Op_lawyers","Op_politicians","Op_journalists","Op_med_doctors","Op_accountants","Op_army_lieutenants","Op_bankers","Op_judges","Op_detectives","Op_scientists","Iq_lawyers","Iq_politicians","Iq_journalists","Iq_med_doctors","Iq_accountants","Iq_army_lieutenants","Iq_bankers","Iq_judges","Iq_detectives","Iq_scientists","In_lawyers","In_politicians","In_journalists","In_med_doctors","In_accountants","In_army_lieutenants","In_bankers","In_judges","In_detectives","In_scientists","Co_lawyers","Co_politicians","Co_journalists","Co_med_doctors","Co_accountants","Co_army_lieutenants","Co_bankers","Co_judges","Co_detectives","Co_scientists","Country","Year_born","Gender","Occupation","Occupation_other","Religiousness","Feedback"
"57","5/14/2014 1:29","5/14/2014 1:32","1","Educated",NA,"1",NA,"2","83","80","75","80","88","80","87","85","93","93","92","84","94","91","89","97","93","91","88","80","89","89","97","80","80","58","71","90","91","80","94","77","86","97","89","88","80","89","88","94","89","80","83","90","87","96","92","93","87","93","89","94","88","98","90","93","84","90","94","92","187","34","1","11","sales","44",NA
"58","5/14/2014 1:29","5/14/2014 1:32","1","Educated",NA,"1",NA,"1","64","6","98","72","61","61","60","89","93","97","100","23","100","100","77","85","85","100","100","100","69","55","100","73","50","33","66","83","79","100","59","40","92","87","69","54","29","84","92","100","100","99","100","100","100","100","100","100","100","100","91","100","60","60","42","99","60","80","61","62","187","39","2","11","tech","41",NA
"59","5/14/2014 1:20","5/14/2014 1:35","1","Educated",NA,"1",NA,"1","50","33","66","90","95","83","90","87","75","85","50","33","77","93","97","65","85","80","77","80","60","13","33","90","93","75","75","40","87","60","75","85","85","97","96","84","88","91","78","95","66","10","50","95","97","90","92","76","86","95","100","100","93","91","80","95","71","96","98","75","187","30","1","11","retired","40",NA
"60","5/14/2014 1:35","5/14/2014 1:39","1","Educated",NA,"1",NA,"1","85","89","88","95","90","85","89","88","90","89","92","81","92","98","94","51","90","72","80","71","67","70","84","94","93","69","87","74","87","92","90","74","90","94","90","93","93","94","88","89","96","89","88","89","91","81","94","92","93","85","92","91","93","91","90","92","91","91","84","90","187","68","2","4",NA,"44",NA
"63","5/14/2014 1:35","5/14/2014 1:47","1","Educated",NA,"1",NA,"1","81","49","59","80","100","89","88","81","89","39","32","22","31","78","100","49","84","70","75","43","9","40","30","71","82","11","81","74","86","26","79","50","59","91","100","83","94","69","85","69","9","12","35","83","94","85","68","74","73","17","95","98","98","79","87","83","71","95","96","55","187","33","1","11","disabled","44",NA
"64","5/14/2014 1:43","5/14/2014 1:47","1","Educated",NA,"1",NA,"1","87","95","63","77","75","86","72","94","86","100","77","59","48","93","52","70","38","61","80","87","100","68","9","95","73","56","35","100","67","85","95","79","60","100","92","82","74","94","87","100","95","40","49","100","72","83","64","67","79","100","59","100","86","0","100","0","82","20","46","75","187","73","1","11","Student","43",NA
"65","5/14/2014 1:44","5/14/2014 1:48","1","Educated",NA,"1",NA,"2","84","73","89","61","69","44","75","66","67","78","85","71","88","53","80","50","72","71","80","83","72","78","95","54","69","48","55","78","62","60","78","75","81","67","77","80","65","77","65","91","80","62","72","65","82","51","69","82","61","77","94","94","80","51","74","54","71","70","74","67","187","58","2","11","IT","40",NA
"66","5/14/2014 1:25","5/14/2014 1:48","1","Educated",NA,"1",NA,"2","37","20","48","84","76","78","40","47","66","75","68","77","57","77","64","83","79","88","85","53","55","21","43","87","69","58","82","84","76","89","86","43","49","77","31","26","84","73","31","46","80","36","44","78","47","75","63","39","69","59","65","69","79","39","78","74","69","68","81","83","187","54","2","11","teacher","40",NA
"68","5/14/2014 1:53","5/14/2014 1:56","1","Educated",NA,"1",NA,"2","79","80","78","80","80","80","80","80","80","100","73","72","78","76","79","72","75","75","73","78","80","75","84","78","74","85","86","79","83","83","82","81","84","81","81","83","81","81","83","83","77","72","74","71","72","74","74","71","74","98","98","91","82","83","79","80","100","81","80","81","187","63","2","10",NA,"43",NA
"69","5/14/2014 1:57","5/14/2014 1:58","1","Educated",NA,"1",NA,"2","67","68","70","77","70","69","75","67","78","71","76","75","73","76","70","74","74","73","62","73","68","69","75","78","76","66","69","71","75","75","74","74","73","75","65","69","76","76","75","74","74","74","72","61","60","68","74","73","75","73","65","71","77","76","75","69","71","73","74","72","187","50","1","11","it lead","43",NA
"70","5/14/2014 2:06","5/14/2014 2:09","1","Educated",NA,"1",NA,"2","6","8","4","88","86","78","72","82","91","90","9","8","9","88","87","86","82","12","87","70","17","12","10","85","85","84","75","11","90","92","20","5","11","85","77","87","80","71","92","84","10","3","8","88","89","89","36","5","84","82","83","83","84","87","84","74","89","76","75","85","187","53","2","11","k","44",NA
"71","5/14/2014 2:01","5/14/2014 2:11","1","Educated",NA,"1",NA,"2","40","0","26","50","91","50","75","65","70","70","60","0","50","81","100","49","91","90","95","90","30","9","91","40","50","9","50","50","70","70","85","50","40","89","69","50","70","65","86","95","49","0","61","75","90","90","40","71","71","81","100","100","60","50","20","30","76","30","19","60","187","67","2","11","teacher","44",NA
"72","5/14/2014 2:09","5/14/2014 2:13","1","Educated",NA,"1",NA,"2","90","83","78","87","71","83","84","86","89","90","90","79","85","87","81","88","91","91","93","95","81","70","82","82","81","79","78","77","84","79","82","68","83","89","74","66","72","82","82","85","65","63","75","81","75","79","80","84","83","83","86","79","79","77","79","78","79","79","80","77","187","50","2","11","consultant","39",NA
"74","5/14/2014 2:09","5/14/2014 2:15","1","Educated",NA,"1",NA,"4","71","43","75","69","96","39","21","89","55","98","80","45","43","68","93","22","40","71","25","98","72","36","56","63","84","29","17","73","56","96","85","19","47","87","67","44","31","89","31","76","73","57","37","70","92","29","19","89","29","96","83","93","45","27","10","95","14","28","94","62","187","25","1","1",NA,"43",NA
