"","Start_time","End_time","Finished","Respondent_group","Screening","Condition","Consent","Reason_nc","Check_phd","Check_group","ob1","ob2","ob3","ra1","ra2","ra3","op1","op2","op3","iq1","iq2","iq3","in1","in2","in3","co1","co2","co3","Country","Year_born","Year_phd","Gender","Religiousness","Feedback","Target"
"79","5/14/2014 13:51","5/14/2014 13:55","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",3,2,2,2,5,3,2,2,2,5,5,7,4,6,6,3,2,3,"187","51","83","1","39",NA,"Educated"
"80","5/14/2014 13:52","5/14/2014 13:55","1","Scientists",NA,"Scientists_Educated","1",NA,"1","6",3,2,2,4,5,3,3,3,4,2,3,2,3,2,3,3,1,1,"129","61","92","2","39",NA,"Educated"
"81","5/14/2014 13:56","5/14/2014 14:02","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",5,4,5,7,6,6,3,6,5,5,5,5,6,4,6,4,6,1,"17","63","90","1","39",NA,"Scientists"
"82","5/14/2014 13:30","5/14/2014 14:05","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",3,3,2,6,6,6,5,5,5,2,2,2,6,5,5,5,3,2,"7","54","83","1","39",NA,"Scientists"
"83","5/14/2014 14:04","5/14/2014 14:07","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",5,3,3,7,4,1,6,3,4,6,4,4,6,5,3,4,3,3,"31","57","88","2","43",NA,"Scientists"
"84","5/14/2014 14:16","5/14/2014 14:21","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",6,5,5,6,6,6,6,6,6,1,5,4,6,6,7,6,5,3,"31","48","89","2","38",NA,"Educated"
"86","5/14/2014 14:35","5/14/2014 14:38","1","Scientists",NA,"Scientists_Educated","1",NA,"2",NA,5,5,4,4,5,5,5,5,5,5,5,3,4,4,5,4,5,3,"187","69","96","1","42",NA,"Educated"
"87","5/14/2014 14:36","5/14/2014 14:40","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",5,5,4,5,5,5,5,5,5,4,5,5,5,4,5,5,4,1,"187","55","82","1","38",NA,"Educated"
"88","5/14/2014 15:00","5/14/2014 15:02","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",5,4,3,6,5,5,5,3,5,4,4,6,6,5,5,5,5,3,"187","41","68","1","39",NA,"Scientists"
"89","5/14/2014 15:00","5/14/2014 15:03","1","Scientists",NA,"Scientists_Scientists","1",NA,"2",NA,6,7,4,6,6,6,6,7,5,3,6,5,6,7,7,6,5,5,"31","61","95","1","43",NA,"Scientists"
"90","5/14/2014 11:01","5/14/2014 15:09","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",NA,3,5,3,NA,3,4,6,6,4,NA,3,1,1,1,1,1,NA,"185","54","88","1","42",NA,"Educated"
"91","5/14/2014 15:28","5/14/2014 15:34","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",6,5,3,6,6,5,6,5,5,6,5,5,5,4,5,5,4,4,"31","33","61","1","40",NA,"Educated"
"92","5/14/2014 15:32","5/14/2014 15:36","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",2,1,2,3,3,4,4,2,1,2,3,3,4,3,4,1,1,1,"187","43","77","1","39",NA,"Scientists"
"93","5/14/2014 15:46","5/14/2014 15:48","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",2,2,2,5,5,4,3,3,3,4,2,4,2,2,2,3,1,1,"187","49","80","1","39",NA,"Educated"
"95","5/14/2014 15:38","5/14/2014 15:54","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",4,4,3,6,6,6,5,5,4,6,4,6,6,6,6,6,6,4,"161","47","86","1","42",NA,"Scientists"
"96","5/14/2014 15:53","5/14/2014 15:55","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",3,2,2,2,4,2,1,2,3,1,1,2,4,1,3,1,3,2,"187","44","76","2","39",NA,"Educated"
"97","5/14/2014 15:59","5/14/2014 16:02","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",6,6,6,6,7,5,5,6,7,3,4,5,7,7,7,7,6,4,"187","49","85","1","43",NA,"Scientists"
"98","5/14/2014 16:04","5/14/2014 16:11","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",7,7,7,7,7,7,7,7,7,5,3,3,7,7,7,7,6,4,"15","59","90","1","43",NA,"Educated"
"99","5/14/2014 16:09","5/14/2014 16:16","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",4,4,4,4,3,4,4,4,4,5,5,4,4,5,6,4,3,4,"168","54","87","2","38",NA,"Scientists"
"101","5/14/2014 16:23","5/14/2014 16:27","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",5,5,5,6,5,6,5,5,5,5,6,6,6,4,6,5,3,2,"65","60","89","1","40",NA,"Educated"
"102","5/14/2014 16:18","5/14/2014 16:30","1","Scientists",NA,"Scientists_Educated","1",NA,"2",NA,5,4,5,6,6,6,5,6,5,6,5,6,6,4,3,5,6,3,"80","66","96","1","43",NA,"Educated"
"103","5/14/2014 16:22","5/14/2014 16:34","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",7,6,2,6,7,3,6,7,6,3,6,5,6,6,6,7,3,2,"187","31","58","1","39",NA,"Scientists"
"104","5/14/2014 16:41","5/14/2014 16:49","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",5,3,3,6,2,6,3,6,6,3,5,4,6,3,3,3,3,1,"187","44","73","1","42",NA,"Educated"
"105","5/14/2014 16:15","5/14/2014 16:50","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",6,6,6,6,5,6,5,5,5,6,5,5,5,6,6,6,4,4,"83","53","83","1","41",NA,"Scientists"
"106","5/14/2014 16:57","5/14/2014 17:00","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",3,3,2,5,5,5,3,3,4,2,2,5,3,2,3,3,3,2,"187","42","68","2","38",NA,"Educated"
"107","5/14/2014 17:02","5/14/2014 17:04","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",4,5,5,4,6,6,6,5,6,5,5,5,4,4,5,3,4,5,"187","39","79","1","40",NA,"Scientists"
"109","5/14/2014 17:45","5/14/2014 17:52","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",5,5,3,5,6,6,NA,4,5,3,3,2,6,3,6,2,4,2,"168","49","90","2","44",NA,"Scientists"
"110","5/14/2014 17:45","5/14/2014 17:54","1","Scientists",NA,"Scientists_Educated","1",NA,"1","2",3,6,4,4,6,6,6,6,6,2,2,2,6,5,6,2,6,2,"31","24","48","1","42",NA,"Educated"
"111","5/14/2014 17:44","5/14/2014 18:01","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",4,3,2,5,4,5,4,5,3,5,4,5,4,4,4,4,4,4,"187","57","87","2","42",NA,"Educated"
"112","5/14/2014 18:24","5/14/2014 18:28","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",7,5,3,NA,6,7,6,6,6,4,6,6,6,5,6,6,6,4,"187","52","79","2","42",NA,"Scientists"
"113","5/14/2014 18:35","5/14/2014 18:39","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",6,6,2,5,5,3,7,5,2,5,2,3,7,6,7,6,6,2,"111","56","85","1","38",NA,"Educated"
"114","5/14/2014 19:03","5/14/2014 19:13","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",6,6,5,6,6,7,6,7,7,3,5,4,7,7,7,6,6,5,"187","56","87","2","42",NA,"Scientists"
"115","5/14/2014 19:46","5/14/2014 19:50","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",5,5,3,5,5,6,5,6,5,5,5,5,6,4,5,4,6,2,"157","56","83","1","41",NA,"Scientists"
"116","5/14/2014 19:51","5/14/2014 20:09","1","Scientists",NA,"Scientists_Educated","1",NA,"2",NA,3,4,3,5,5,5,5,4,5,6,5,5,4,3,3,3,3,3,"83","30","95","1","39",NA,"Educated"
"118","5/14/2014 21:36","5/14/2014 21:49","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",6,4,3,4,5,4,5,6,6,3,3,4,6,6,6,5,5,2,"168","43","89","2","41",NA,"Educated"
"119","5/14/2014 21:57","5/14/2014 22:01","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",4,4,4,5,5,5,4,2,3,3,5,4,5,4,4,4,3,2,NA,NA,NA,"2","38",NA,"Educated"
