"","X","Start_time","End_time","Finished","Respondent_group","Screening","Consent","Reason_nc","Check_group","ob1","ob2","ob3","ra1","ra2","ra3","op1","op2","op3","iq1","iq2","iq3","in1","in2","in3","co1","co2","co3","Country","Year_born","Gender","Religiousness","Feedback","Target"
"85",86,"5/14/2014 1:56","5/14/2014 1:59",1,"Educated",NA,1,NA,2,6,5,6,7,7,7,6,4,3,7,6,7,7,6,6,3,4,1,187,34,2,41,NA,"Scientists"
"86",87,"5/14/2014 1:58","5/14/2014 2:02",1,"Educated",NA,1,NA,1,4,4,4,4,4,5,4,4,3,4,4,4,4,4,4,4,3,3,187,59,2,43,NA,"Scientists"
"87",88,"5/14/2014 2:04","5/14/2014 2:07",1,"Educated",NA,1,NA,1,6,4,4,4,5,5,4,4,4,3,5,3,4,4,4,4,4,4,187,61,2,40,NA,"Educated"
"88",89,"5/14/2014 1:59","5/14/2014 2:09",1,"Educated",NA,1,NA,2,6,6,5,5,6,6,5,6,6,4,2,6,5,5,3,4,5,2,187,57,2,42,NA,"Educated"
"89",90,"5/14/2014 2:08","5/14/2014 2:09",1,"Educated",NA,1,NA,2,7,6,6,6,6,6,6,6,6,7,5,5,6,6,6,6,6,6,187,46,1,43,NA,"Scientists"
"90",91,"5/14/2014 2:13","5/14/2014 2:17",1,"Educated",NA,1,NA,1,4,1,1,1,4,4,4,4,1,1,1,1,1,1,1,1,1,1,187,32,1,39,NA,"Educated"
"91",92,"5/14/2014 2:21","5/14/2014 2:23",1,"Educated",NA,1,NA,2,5,5,4,6,5,6,5,5,5,5,5,5,5,4,4,4,5,5,187,42,1,43,NA,"Educated"
"92",93,"5/14/2014 2:18","5/14/2014 2:24",1,"Educated",NA,1,NA,1,5,5,3,5,6,5,5,5,6,6,6,5,6,6,6,5,6,4,187,24,1,38,NA,"Educated"
"93",94,"5/14/2014 1:53","5/14/2014 2:33",1,"Educated",NA,1,NA,1,6,6,6,5,6,5,5,6,6,6,6,6,6,6,5,6,6,6,187,67,1,38,NA,"Scientists"
"94",95,"5/14/2014 2:31","5/14/2014 2:34",1,"Educated",NA,1,NA,4,6,6,2,7,4,5,4,5,6,3,2,4,4,6,6,3,5,5,187,38,1,38,NA,"Scientists"
"95",96,"5/14/2014 2:37","5/14/2014 2:41",1,"Educated",NA,1,NA,2,1,4,4,7,1,4,1,1,4,4,7,7,4,1,1,1,4,1,187,47,2,38,NA,"Scientists"
"96",97,"5/14/2014 2:44","5/14/2014 2:48",1,"Educated",NA,1,NA,1,4,4,4,6,5,6,6,5,5,4,5,4,4,4,4,4,4,3,187,59,2,44,NA,"Educated"
"97",98,"5/14/2014 2:50","5/14/2014 2:56",1,"Educated",NA,1,NA,1,4,5,2,6,6,6,4,6,5,5,2,5,6,3,3,4,4,2,187,49,1,40,NA,"Educated"
"98",99,"5/14/2014 2:55","5/14/2014 2:58",1,"Educated",NA,1,NA,1,6,3,4,6,6,6,3,5,6,6,6,6,6,4,4,3,3,6,187,29,1,39,NA,"Scientists"
"99",100,"5/14/2014 2:56","5/14/2014 2:58",1,"Educated",NA,1,NA,2,5,6,3,7,6,6,5,6,7,5,6,4,7,7,7,7,3,4,187,64,2,38,NA,"Scientists"
"100",101,"5/14/2014 2:59","5/14/2014 3:00",1,"Educated",NA,1,NA,4,5,6,6,5,5,6,5,6,6,5,6,7,6,6,6,5,5,5,187,63,1,44,NA,"Educated"
"101",102,"5/14/2014 2:58","5/14/2014 3:01",1,"Educated",NA,1,NA,1,5,5,4,4,6,5,2,5,4,2,2,3,6,1,3,4,5,1,187,34,1,40,NA,"Educated"
"102",103,"5/14/2014 2:59","5/14/2014 3:01",1,"Educated",NA,1,NA,2,7,7,7,6,7,7,7,6,6,5,5,7,7,5,7,7,6,6,187,41,2,44,NA,"Educated"
"103",104,"5/14/2014 2:59","5/14/2014 3:04",1,"Educated",NA,1,NA,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,187,57,2,42,NA,"Scientists"
"104",105,"5/14/2014 2:58","5/14/2014 3:07",1,"Educated",NA,1,NA,2,6,6,4,4,6,6,6,6,2,6,4,4,6,6,6,6,6,2,187,25,2,43,NA,"Scientists"
"105",106,"5/14/2014 3:05","5/14/2014 3:08",1,"Educated",NA,1,NA,2,6,4,2,6,6,6,4,6,6,5,5,5,6,4,2,4,4,3,187,64,1,41,NA,"Scientists"
"106",107,"5/14/2014 3:09","5/14/2014 3:13",1,"Educated",NA,1,NA,1,2,2,2,6,3,5,2,1,4,2,1,5,2,1,1,1,2,2,187,32,1,41,NA,"Scientists"
"107",108,"5/14/2014 3:09","5/14/2014 3:14",1,"Educated",NA,1,NA,1,3,2,3,3,5,5,5,4,5,5,6,3,6,5,6,4,3,3,187,60,2,42,NA,"Educated"
"108",109,"5/14/2014 3:13","5/14/2014 3:16",1,"Educated",NA,1,NA,1,4,6,3,6,6,7,7,6,6,5,3,4,6,4,3,4,4,3,187,52,2,39,NA,"Scientists"
"109",110,"5/14/2014 3:13","5/14/2014 3:16",1,"Educated",NA,1,NA,2,7,4,3,7,7,6,4,4,6,3,1,5,4,5,4,4,6,4,187,43,1,38,NA,"Educated"
"110",111,"5/14/2014 3:14","5/14/2014 3:18",1,"Educated",NA,1,NA,1,3,3,3,3,2,2,5,3,6,2,5,2,1,1,2,2,2,2,187,36,1,44,NA,"Educated"
"111",112,"5/14/2014 3:21","5/14/2014 3:27",1,"Educated",NA,1,NA,1,4,3,3,5,6,5,4,4,4,2,2,3,6,5,5,4,5,3,187,31,2,44,NA,"Educated"
"112",113,"5/14/2014 3:24","5/14/2014 3:28",1,"Educated",NA,1,NA,2,3,3,6,6,7,7,7,6,5,6,6,7,3,3,3,3,5,5,187,26,2,41,NA,"Scientists"
"113",114,"5/14/2014 3:23","5/14/2014 3:28",1,"Educated",NA,1,NA,2,2,4,4,4,6,4,4,4,4,3,3,5,4,4,4,4,4,4,187,18,1,40,NA,"Scientists"
"114",115,"5/14/2014 3:25","5/14/2014 3:31",1,"Educated",NA,1,NA,2,7,6,5,6,7,6,5,7,6,6,5,5,7,6,4,4,3,2,187,61,2,38,NA,"Educated"
"115",116,"5/14/2014 3:24","5/14/2014 3:32",1,"Educated",NA,1,NA,1,6,6,3,6,5,7,6,6,7,3,3,3,7,6,7,7,3,4,187,32,1,39,NA,"Scientists"
"116",117,"5/14/2014 3:29","5/14/2014 3:34",1,"Educated",NA,1,NA,1,4,3,2,5,5,4,4,5,3,4,2,4,5,3,4,4,4,3,187,35,2,43,NA,"Educated"
"117",118,"5/14/2014 3:29","5/14/2014 3:34",1,"Educated",NA,1,NA,1,6,7,3,5,3,5,5,3,5,4,4,3,7,3,6,2,2,3,187,32,1,43,NA,"Scientists"
