"","Start_time","End_time","Finished","Respondent_group","Screening","Condition","Consent","Reason_nc","Check_phd","Check_group","ob1","ob2","ob3","ra1","ra2","ra3","op1","op2","op3","iq1","iq2","iq3","in1","in2","in3","co1","co2","co3","Country","Year_born","Year_phd","Gender","Religiousness","Feedback","Target"
"317","6/16/2014 18:43","6/16/2014 18:47","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",6,4,2,5,4,5,4,6,5,3,3,2,5,2,5,2,3,1,"187","59","88","1","42",NA,"Educated"
"319","6/16/2014 18:49","6/16/2014 18:52","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",3,3,3,6,5,6,4,5,5,3,6,4,4,3,3,3,3,3,"187","38","65","1","42",NA,"Educated"
"321","6/16/2014 18:55","6/16/2014 19:00","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",5,4,5,6,6,6,6,5,5,5,6,5,6,4,6,5,3,1,"187",NA,"86","2","42",NA,"Scientists"
"326","6/16/2014 19:18","6/16/2014 19:24","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",3,2,2,6,6,5,3,5,5,5,5,4,4,2,2,2,2,2,"187","59","90","1","39",NA,"Scientists"
"331","6/16/2014 20:29","6/16/2014 20:32","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",2,3,2,6,6,6,5,3,3,2,5,5,5,3,3,4,4,2,"187","47","73","1","38",NA,"Scientists"
"332","6/16/2014 20:45","6/16/2014 20:49","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",1,1,1,4,3,2,5,5,5,5,3,3,2,1,1,2,1,2,"187",NA,NA,"1","39",NA,"Educated"
"334","6/16/2014 21:06","6/16/2014 21:10","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",5,5,4,5,6,5,5,5,5,4,5,5,6,6,5,6,6,5,"187","49","80","1","38",NA,"Scientists"
"335","6/16/2014 20:49","6/16/2014 21:20","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",2,2,1,5,7,6,2,2,2,2,2,5,6,2,1,1,2,2,"187","55","85","1","42",NA,"Educated"
"341","6/16/2014 22:50","6/16/2014 22:57","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",6,5,5,7,6,6,5,4,6,5,6,5,6,7,7,7,7,3,"187","66","93","1","43",NA,"Scientists"
"345","6/16/2014 23:58","6/17/2014 0:02","1","Scientists",NA,"Scientists_Educated","1",NA,"1","1",2,2,2,6,5,6,5,5,5,5,5,5,5,2,5,3,2,1,"187","50","75","1","38",NA,"Educated"
"349","6/17/2014 2:27","6/17/2014 2:31","1","Scientists",NA,"Scientists_Scientists","1",NA,"1","1",3,5,2,5,5,4,6,3,5,5,6,5,5,3,5,3,3,2,"187","35","63","2","41",NA,"Scientists"
