"","Start_time","End_time","Finished","Respondent_group","Screening","Condition","Consent","Reason_nc","Check_group","ob1","ob2","ob3","ra1","ra2","ra3","op1","op2","op3","iq1","iq2","iq3","in1","in2","in3","co1","co2","co3","Country","Year_born","Gender","Occupation","Occupation_other","Religiousness","Feedback","Target"
"58","5/13/2014 23:47","5/13/2014 23:51","1","Educated",NA,"Educated_Scientists","1",NA,"1",5,5,5,6,5,6,5,5,6,4,4,5,5,4,4,4,4,4,"187","36","2","7","SR BENEFIT ADMINISTRATOR","42",NA,"Scientists"
"59","5/14/2014 0:11","5/14/2014 0:13","1","Educated",NA,"Educated_Educated","1",NA,"1",5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,4,"187","35","1","7","religious","43",NA,"Educated"
"60","5/14/2014 0:14","5/14/2014 0:24","1","Educated",NA,"Educated_Scientists","1",NA,"1",6,6,5,6,5,5,6,6,6,6,5,6,6,6,6,6,6,5,"187","26","2","7","teacher - retired","44",NA,"Scientists"
"61","5/14/2014 0:18","5/14/2014 0:30","1","Educated",NA,"Educated_Scientists","1",NA,"1",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"187","66","2","7","Business analyst","41",NA,"Scientists"
"62","5/14/2014 0:29","5/14/2014 0:31","1","Educated",NA,"Educated_Educated","1",NA,"2",7,4,6,6,5,5,6,7,6,6,5,5,7,7,4,4,5,4,"187","61","1","7","manager","44",NA,"Educated"
"63","5/14/2014 0:33","5/14/2014 0:35","1","Educated",NA,"Educated_Scientists","1",NA,"2",6,5,5,6,6,6,5,5,6,4,5,5,6,6,6,5,6,4,"187","34","1","7","IT","44",NA,"Scientists"
"64","5/14/2014 0:35","5/14/2014 0:36","1","Educated",NA,"Educated_Educated","1",NA,"1",4,5,4,5,4,4,5,4,5,5,4,5,4,4,5,5,4,4,"187","62","1","7","services","43",NA,"Educated"
"65","5/14/2014 0:45","5/14/2014 0:48","1","Educated",NA,"Educated_Scientists","1",NA,"1",5,4,5,6,6,4,3,4,4,5,NA,6,5,3,6,4,4,5,"187","61","1","7","sale","40",NA,"Scientists"
"66","5/14/2014 0:56","5/14/2014 0:58","1","Educated",NA,"Educated_Educated","1",NA,"2",3,3,2,3,3,3,3,3,3,3,2,2,2,2,1,3,2,3,"187","43","1","7","Technologist","40",NA,"Educated"
"67","5/14/2014 0:43","5/14/2014 1:02","1","Educated",NA,"Educated_Educated","1",NA,"1",5,5,4,5,5,5,5,5,4,3,4,4,5,4,4,3,4,3,"187","65","2","7","Associate","40",NA,"Educated"
